Cruise,Station,LatitudeN,LongitudeW,Depthm,Bottomdepthm,dFenM,Oxygenumolkg1,BotO2
2102,1,44.652,-124.18,47,60,10.46084635,102.1345,93.0775
2102,2,44.652,-124.28,72,82,8.315723448,97.1635,97.1635
2102,3,44.65123,-124.41324,79,90,6.466829697,125.832,125.7845
2102,4,44.651855,-124.499188,125,130,8.769148828,116.497,116.497
2102,5,44.64907,-124.65045,270,295,4.756806375,57.2945,56.3635
2102,7,44.65224,-124.88014,385,430,8.213226441,40.6255,37.087
2102,8,44.6519,-125.03416,1006,1140,1.78082768,12.637,16.136
2102,9,44.65246,-125.1105,615,670,3.704811337,11.3375,11.2945
2102,14,44.652,-128,2640,2650,1.093317237,79.984,79.8475
2107,1,44.652115,-124.180242,52,60,4.167537414,14.0465,52.729
2107,2,44.652017,-124.277063,72,80,8.784647562,59.3275,59.372
2107,3,44.65204,-124.41054,88,95,12.39956141,13.258,13.258
2107,4,44.652091,-124.500278,116,128,24.92736444,21.782,21.639
2107,4.5,44.651882,-124.65487,273,290,3.332723038,49.474,49.3985
2107,7,44.651919,-124.88013,399,435,2.868683679,33.7295,32.001
2107,19.5,46.751716,-124.392164,65,76,36.76136279,22.6895,22.892
2107,20,46.398562,-124.319433,65,71,17.27141066,38.546,36.296
2107,27,44.65219,-124.500404,110,131,6.222693055,66.185,66.706
2107,29,44.651828,-124.409378,90,93,7.922200934,77.035,77.035
2107,33,43.929694,-124.319538,94,110,39.70245662,27.573,27.6435
2107,34,43.820211,-124.339742,98,110,42.36372804,24.271,23.782
2107,34.5,43.992132,-124.797909,104,117,58.12113682,24.002,23.572
2107,35,45.333605,-124.357578,200,225,17.03445018,44.2105,44.2985
