Cruise,Station,Cast,Cast type,Depth/m,Sample number,Fe(II)/nM,Fe(II) std/nM,Fe(II) flag,Fe(II) err flag,dFe/nM,,Sampling time,Measurement time,pH,Latitude,Longitude,Potential density/kgm-3,O2/umolkg-1,Bottom depth/m,TemperatureITSC,Salinity practical,Comments,,
OC2107A,19.5,2,TMC,67,898,6.18,0.11,3,1,36.76,,8:16:03 AM,9:23:30 AM,NaN,46.77694,-124.39944,26.5501,22.678,73,7.25,33.9401,"Had to correct Fe(II) by lowering 1 order of magnitude, suspicious of these values",,
OC2107A,19.5,2,TMC,60,899,3.73,0.95,3,1,17.82,,8:20:38 AM,9:15:00 AM,NaN,46.77682,-124.3995,26.5457,26.7285,75,7.26295,33.9369,"Had to correct Fe(II) by lowering 1 order of magnitude, suspicious of these values",,
OC2107A,19.5,2,TMC,50,900,1.92,0.56,3,1,3.23,,8:21:24 AM,9:35:30 AM,NaN,46.77676,-124.3994,26.51785,68.0235,75,7.3381,33.915,"Had to correct Fe(II) by lowering 1 order of magnitude, suspicious of these values",,
OC2107A,19.5,2,TMC,40,901,2.78,0.54,3,1,4.64,,8:22:10 AM,9:43:30 AM,NaN,46.77668,-124.3991,26.4383,81.983,75,7.41125,33.8272,"Had to correct Fe(II) by lowering 1 order of magnitude, suspicious of these values",,
OC2107A,19.5,2,TMC,30,902,0.78,0.05,3,1,4.77,,8:22:59 AM,10:23:30 AM,NaN,46.77669,-124.39886,26.27795,49.725,75,7.4924,33.63805,"Had to correct Fe(II) by lowering 1 order of magnitude, suspicious of these values",,
OC2107A,19.5,2,TMC,15,903,0,0.01,3,1,3.33,,8:24:59 AM,10:35:30 AM,NaN,46.77668,-124.39874,25.61615,150.7525,75,9.55375,33.1972,"Had to correct Fe(II) by lowering 1 order of magnitude, suspicious of these values",,
OC2107A,19.5,2,TMC,10,904,0,0.02,3,1,2.36,,8:26:08 AM,10:45:00 AM,NaN,46.77662,-124.39857,25.30715,245.44,75,10.8714,33.0843,"Had to correct Fe(II) by lowering 1 order of magnitude, suspicious of these values",,
OC2107A,20,2,TMC,67,917,1.23,0.08,2,1,17.27,,1:09:18 PM,2:09:00 PM,NaN,46.39836,-124.31976,26.5022,36.473,73.5,7.3019,33.8884,,,
OC2107A,20,2,TMC,60,918,0.19,0.07,2,1,12.93,,1:13:15 PM,1:55:00 PM,NaN,46.39828,-124.3198,26.47415,46.506,73.5,7.3663,33.8644,,,
OC2107A,20,2,TMC,50,919,0.08,0.02,2,1,13.99,,1:13:58 PM,2:52:00 PM,NaN,46.39836,-124.31964,26.3384,67.8925,73.5,7.4374,33.7047,,,
OC2107A,20,2,TMC,40,920,0.00,0.01,2,1,2.5,,1:14:41 PM,3:09:30 PM,NaN,46.39836,-124.31976,26.10975,92.228,73.5,7.5236,33.4296,,,
OC2107A,20,2,TMC,30,921,0.00,0.01,2,1,3.68,,1:15:22 PM,3:02:00 PM,NaN,46.39835,-124.31975,25.87185,117.091,73.5,7.79115,33.17555,,,
OC2107A,20,2,TMC,17,922,0.00,0.01,2,1,2.91,,1:16:17 PM,3:20:00 PM,NaN,46.39836,-124.31969,25.33255,157.193,73.5,9.8876,32.9065,,,
OC2107A,20,2,TMC,10,923,0.00,0.00,2,1,2.87,,1:16:52 PM,3:26:30 PM,NaN,46.3984,-124.31962,24.48145,336.204,73.5,14.21205,32.84745,,,
OC2107A,20,2,TMC,5,924,0.00,0.00,2,1,2.78,,1:17:15 PM,2:25:30 PM,NaN,46.39839,-124.31957,24.4297,327.139,73.5,14.6245,32.8944,,,
OC2107A,20,NaN,BBG,91,NaN,2.44,4.37,0,1,5.7,,9:28:00 PM,11:56:00 PM,NaN,46.39836,-124.31976,26.5,80.75986361,NaN,7.3008,33.88855,"O2 units corrected with 1026.5 kg m3, T + S based on value at 68 m, pdens set to 26.5, lat + long from cast",,
OC2107A,20,NaN,BBG,51,NaN,5.37,6.64,0,1,13.9,,9:28:00 PM,12:56:00 AM,NaN,46.39836,-124.31976,26.5,64.97808086,NaN,7.3008,33.88855,"O2 units corrected with 1026.5 kg m3, T + S based on value at 68 m, pdens set to 26.5, lat + long from cast",,
OC2107A,20,NaN,BBG,32,NaN,8.72,2.37,0,1,,dFe was 35.2519454195351,9:28:00 PM,12:51:30 AM,NaN,46.39836,-124.31976,26.5,57.18460789,NaN,7.3008,33.88855,"O2 units corrected with 1026.5 kg m3, T + S based on value at 68 m, pdens set to 26.5, lat + long from cast",,
OC2107A,20,NaN,BBG,16,NaN,16.91,2.71,0,1,12.1,,9:28:00 PM,12:43:00 AM,NaN,46.39836,-124.31976,26.5,58.0613736,NaN,7.3008,33.88855,"O2 units corrected with 1026.5 kg m3, T + S based on value at 68 m, pdens set to 26.5, lat + long from cast",,
OC2107A,20,NaN,BBG,9,NaN,12.00,2.90,0,1,12.1,,9:28:00 PM,12:34:00 AM,NaN,46.39836,-124.31976,26.5,50.07306381,NaN,7.3008,33.88855,"O2 units corrected with 1026.5 kg m3, T + S based on value at 68 m, pdens set to 26.5, lat + long from cast",,
OC2107A,20,NaN,BBG,5,NaN,15.09,1.75,0,1,10.4,,9:28:00 PM,12:24:30 AM,NaN,46.39836,-124.31976,26.5,61.2761812,NaN,7.3008,33.88855,"O2 units corrected with 1026.5 kg m3, T + S based on value at 68 m, pdens set to 26.5, lat + long from cast",,
OC2107A,20,NaN,BBG,3,NaN,25.61,3.42,0,1,31.2,,9:28:00 PM,12:14:30 AM,NaN,46.39836,-124.31976,26.5,68.29030687,NaN,7.3008,33.88855,"O2 units corrected with 1026.5 kg m3, T + S based on value at 68 m, pdens set to 26.5, lat + long from cast",,
OC2107A,20,NaN,BBG,2,NaN,23.17,2.13,2,0,22.2,,9:28:00 PM,12:12:00 AM,NaN,46.39836,-124.31976,26.5,52.50852411,NaN,7.3008,33.88855,"O2 units corrected with 1026.5 kg m3, T + S based on value at 68 m, pdens set to 26.5, lat + long from cast",,
OC2107A,21,1,CTD,560,925,53.84,1.88,3,1,,,6:26:16 AM,7:47:00 AM,NaN,46.24701,-124.5,26.9816,21.425,582,5.241,34.154,,,
OC2107A,21,1,CTD,554,926,16.35,2.39,3,1,,,6:28:03 AM,7:54:00 AM,NaN,46.247,-124.50004,26.98195,21.2355,582,5.30515,34.14585,,,
OC2107A,21,1,CTD,545,927,6.59,1.02,3,1,,,6:29:56 AM,8:03:20 AM,NaN,46.24706,-124.49988,26.9627,23.4265,582,5.32825,34.1423,,,
OC2107A,21,1,CTD,520,928,3.13,0.31,3,1,,,6:32:08 AM,8:12:00 AM,NaN,46.247,-124.49984,26.93795,25.351,581,5.448,34.1267,,,
OC2107A,21,2,TMC,535,949,24.70,0.08,3,0,,,8:26:14 AM,9:42:00 AM,NaN,46.247,-124.49984,26.95145,24.312,580,5.3779,34.136,,,
OC2107A,21,2,TMC,525,950,2.92,0.14,3,1,,,8:30:11 AM,10:03:00 AM,NaN,46.247,-124.49984,26.93795,25.351,581,5.4371,34.12795,,,
OC2107A,21,2,TMC,450,951,1.88,0.04,3,0,,,8:33:11 AM,10:24:00 AM,NaN,46.24704,-124.50002,26.8779,32.6855,581,5.7136,34.09505,,,
OC2107A,21,2,TMC,400,952,2.52,0.16,3,0,,,8:35:04 AM,10:27:00 AM,NaN,46.2469,-124.50002,26.8164,38.744,581,6.00025,34.06285,,,
OC2107A,21,2,TMC,290,953,1.40,0.05,3,0,,,8:39:21 AM,10:33:00 AM,NaN,46.247,-124.5,26.7178,58.752,581,6.5645,34.03125,,,
OC2107A,21,2,TMC,230,954,3.59,0.60,3,0,,,8:41:42 AM,10:42:00 AM,NaN,46.24698,-124.49996,26.64335,52.285,581,6.8678,33.9891,,,
OC2107A,21,2,TMC,195,955,4.83,0.00,3,0,,,8:43:02 AM,10:47:00 AM,NaN,46.24696,-124.49994,26.61205,49.4195,581,6.9924,33.9715,,,
OC2107A,21,2,TMC,150,956,1.97,0.06,3,0,,,8:44:48 AM,10:53:00 AM,NaN,46.247,-124.50016,26.5926,54.2265,581,7.06615,33.96035,,,
OC2107A,21,2,TMC,120,957,1.54,0.05,3,0,,,8:45:58 AM,10:57:00 AM,NaN,46.24702,-124.5003,26.54005,75.939,581,7.2624,33.92855,,,
OC2107A,21,2,TMC,75,958,1.36,0.03,3,0,,,8:47:42 AM,11:02:00 AM,NaN,46.24702,-124.50034,26.05525,138.7785,581,8.0652,33.4591,,,
OC2107A,22,1,TMC,1310,960,38.62,1.80,0,1,,,1:04:35 PM,3:26:00 PM,NaN,46.10002,-124.8999,27.47545,19.289,1380,3.04265,34.481,,,
OC2107A,22,1,TMC,1300,961,37.81,1.80,0,1,,,1:08:18 PM,4:12:30 PM,NaN,46.10002,-124.89988,27.46715,18.0785,1380,3.08775,34.47585,,,
OC2107A,22,1,TMC,1100,962,2.61,0.32,0,0,,,1:15:08 PM,3:41:00 PM,NaN,46.10006,-124.89978,27.27205,7.7285,1380,3.4456,34.43425,,,
OC2107A,22,1,TMC,900,963,0.00,0.25,0,1,,,1:21:52 PM,3:56:00 PM,NaN,46.10026,-124.89948,27.13325,10.072,1380,4.0132,34.3467,,,
