Latitude,Longitude,WaterDepth,ObsvnTop,ObsvnBot,LocnName,DataSetKey,LocnKey,ObsvnKey,Device,DataTypes,Gravel,Sand,Mud,Clay,Grainsze,Sorting,Facies,FacMshp,FolkCde,RckMshp,VegMshp,Carbonate,MunslColr,OrgCarbn,lShearStr,Porosity,PWaveVel,Roughness,lCritShStr,GeolAge,ObsvnDetai,Key,ObsvnDate,DateSrc
42.06333,-125.115,2012,0,0.05,OSU 6711-1,183,148431,190061,PistonCorer pntn=4.08,LTH.TXR,0,0,100,31,6.7,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0131272,196711,collection date
42.06333,-125.115,2012,0.45,0.5,OSU 6711-1,183,148431,190064,PistonCorer pntn=4.08,LTH.TXR,0,0,100,42,7.2,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0131273,196711,collection date
42.06333,-125.115,2012,0.95,1,OSU 6711-1,183,148431,190067,PistonCorer pntn=4.08,LTH.TXR,0,0,100,23,6.7,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0131274,196711,collection date
42.06333,-125.115,2012,1.45,1.5,OSU 6711-1,183,148431,190070,PistonCorer pntn=4.08,LTH.TXR,0,0,100,41,7.6,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0131275,196711,collection date
42.06333,-125.115,2012,1.95,2,OSU 6711-1,183,148431,190073,PistonCorer pntn=4.08,TXR,0,0,100,54,8.2,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0131276,196711,collection date
42.06333,-125.115,2012,2.48,2.52,OSU 6711-1,183,148431,190076,PistonCorer pntn=4.08,LTH.TXR,0,0,100,29,6.7,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0131277,196711,collection date
42.06333,-125.115,2012,2.95,3,OSU 6711-1,183,148431,190079,PistonCorer pntn=4.08,LTH.TXR,0,0,100,21,6.5,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0131278,196711,collection date
42.06333,-125.115,2012,3.45,3.5,OSU 6711-1,183,148431,190082,PistonCorer pntn=4.08,LTH.TXR,0,0,100,46,8.3,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0131279,196711,collection date
42.06333,-125.115,2012,3.63,3.63,OSU 6711-1,183,148431,190087,PistonCorer pntn=4.08,LTH.TXR,0,6,94,23,6.4,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0131280,196711,collection date
42.06333,-125.115,2012,3.75,3.78,OSU 6711-1,183,148431,190091,PistonCorer pntn=4.08,LTH.TXR,0,1,99,18,6.3,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0131281,196711,collection date
42.06333,-125.115,2012,3.85,3.88,OSU 6711-1,183,148431,190092,PistonCorer pntn=4.08,TXR,0,19,81,51,8.3,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0131282,196711,collection date
42.06333,-125.115,2012,3.9,3.92,OSU 6711-1,183,148431,190095,PistonCorer pntn=4.08,LTH.TXR,0,1,99,39,7.3,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0131283,196711,collection date
