year,month,day,41N,42N,43N,44N,45N,46N,47N
2021,1,1,0.222,-0.165,-0.422,-0.834,-1.85,-0.827,-0.908
2021,1,2,-0.308,-1.024,-1.163,-1.613,-2.155,-1.405,-2.592
2021,1,3,-1.79,-2.149,0.021,-0.709,-1.563,-0.317,-0.826
2021,1,4,-2.161,-1.603,-0.591,-1.518,-1.047,-0.041,-0.429
2021,1,5,-1.329,-0.931,-1.502,-1.577,-1.395,-1.103,-0.988
2021,1,6,-1.994,-0.97,-0.955,-0.932,-1.626,-1.038,-0.609
2021,1,7,-1.35,-0.71,-0.681,0.037,-0.419,-0.092,-0.175
2021,1,8,-0.236,-0.337,0.084,0.349,0.093,0.083,0.041
2021,1,9,-0.561,0.267,0.647,0.137,-0.504,-0.292,0.454
2021,1,10,-0.54,-0.446,-0.249,-0.412,-0.42,-0.234,-0.304
2021,1,11,-0.734,-0.911,-1.742,-1.384,-1.606,-1.169,-1.42
2021,1,12,-1.845,-2.7,-3.73,-2.704,-3.745,-2.34,-2.011
2021,1,13,-2.613,-2.559,-1.683,-0.774,-2.507,-0.444,-0.555
2021,1,14,-0.006,-0.086,0.249,0.763,-0.191,0.893,-0.471
2021,1,15,0.099,0.509,0.622,1.018,0.047,0.416,-0.368
2021,1,16,0.063,0.612,0.632,0.698,0.48,0.932,0.384
2021,1,17,0.734,0.792,0.823,0.422,0.43,0.064,0.702
2021,1,18,1.708,2.26,1.58,0.479,0.389,-0.277,0.414
2021,1,19,1.697,2.011,1.814,1.116,0.816,0.331,-0.012
2021,1,20,0.463,0.625,1.137,0.498,-0.056,-0.087,0.267
2021,1,21,0.189,0.022,0.379,0.179,-0.068,0.5,-0.275
2021,1,22,0.588,0.105,0.699,0.16,0.326,0.258,0.143
2021,1,23,1.674,1.445,1.368,0.908,1.118,0.673,0.532
2021,1,24,1.933,1.611,0.828,0.174,0.448,0.175,0.258
2021,1,25,1.667,1.001,0.951,0.311,0.119,-0.315,0.877
2021,1,26,0.155,0.083,0.217,-0.02,0.052,-0.115,0.186
2021,1,27,-0.741,-0.975,-0.525,-0.764,-0.253,-0.026,-0.24
2021,1,28,0.057,-0.8,-0.16,-0.056,0.012,-0.146,0.105
2021,1,29,0.18,-0.267,0.274,-0.124,-0.224,0.029,-0.104
2021,1,30,-0.386,-0.754,-0.575,-0.73,-0.607,-0.378,-0.697
2021,1,31,-4.497,-4.577,-2.99,-1.887,-1.664,-0.879,-0.916
2021,2,1,-4.096,-4.899,-2.15,-0.417,-0.836,-0.542,-0.647
2021,2,2,-1.15,-1.491,-0.555,0.584,-0.733,0.308,-0.446
2021,2,3,0.122,-0.362,-0.25,0.828,0.031,0.089,-0.342
2021,2,4,0.983,-0.088,-0.067,1.316,-0.172,0.099,0.249
2021,2,5,2.002,1.942,0.536,0.81,-0.306,-0.098,0.246
2021,2,6,2.177,2.597,1.16,0.711,-0.193,0.468,0.383
2021,2,7,1.753,2.194,0.828,0.726,0.446,0.714,0.719
2021,2,8,1.483,1.79,1.306,0.153,0.203,0.444,0.815
2021,2,9,0.811,1.178,1.095,0.008,0.554,0.663,0.236
2021,2,10,-0.057,0.812,0.539,-0.172,0.582,0.096,0.272
2021,2,11,0.052,-0.265,-0.006,-0.05,0.061,-0.542,0.234
2021,2,12,0.176,-0.168,-0.014,-0.112,-0.162,-0.307,-0.707
2021,2,13,0.101,-0.356,0.242,-0.087,-0.044,0.807,-0.537
2021,2,14,-0.15,-0.217,-0.533,-0.656,-0.505,0.43,0.402
2021,2,15,-0.022,-0.507,-1.185,-0.945,-0.463,-0.163,-0.397
2021,2,16,0.155,0.05,0.336,-0.082,-0.675,-0.043,0.429
2021,2,17,0.642,0.684,0.606,0.314,0.347,0.642,0.466
2021,2,18,0.334,0.376,0.461,0.039,0.181,0.157,-0.233
2021,2,19,-0.139,0.09,0.047,-0.506,-0.057,0.213,0.291
2021,2,20,-0.013,0.247,0.111,-0.214,0.228,0.127,0.372
2021,2,21,0.614,0.372,-0.273,-0.293,0.057,-0.414,0.041
2021,2,22,0.757,0.437,-0.187,-0.458,-0.832,-0.747,-0.487
2021,2,23,1.328,1.287,0.522,-0.278,-0.17,0.084,0.457
2021,2,24,2.478,2.047,0.879,0.106,0.58,0.553,0.515
2021,2,25,2.047,1.512,0.329,-0.21,0.104,-0.032,0.27
2021,2,26,1.304,0.899,0.031,0.024,-0.233,-0.11,0.334
2021,2,27,1.699,0.905,0.585,0.253,0.032,0.358,1.351
2021,2,28,1.597,1.434,0.844,0.169,-0.155,0.113,-0.113
2021,3,1,-0.086,0.426,0.313,0.174,0.056,0.146,-0.402
2021,3,2,0.265,0.09,-0.092,-0.172,0.01,0.084,0.166
2021,3,3,0.258,0.506,0.623,0.621,0.177,-0.23,-0.157
2021,3,4,-0.07,0.131,0.175,-0.111,-0.103,-0.056,-0.354
2021,3,5,-3.063,-2.853,-3.635,-2.828,-2.276,-1.833,-1.744
2021,3,6,-1.244,-0.972,-1.288,-1.001,-1.197,-1.124,-0.978
2021,3,7,-0.027,0.192,-0.252,-0.331,-0.909,-0.629,-0.585
2021,3,8,-0.041,0.163,-0.477,-0.49,-0.508,-0.184,-0.43
2021,3,9,-0.784,-0.313,-0.53,-0.147,-0.557,0.067,-0.238
2021,3,10,-0.381,-0.413,-0.438,-0.228,-0.518,0.694,0.204
2021,3,11,0.477,0.374,0.19,0.571,0.054,0.186,-0.126
2021,3,12,1.375,1.144,1.08,0.608,0.376,0.442,0.086
2021,3,13,0.587,0.368,0.125,-0.289,-0.212,0.201,-0.016
2021,3,14,0.122,0.268,0.02,0.057,-0.25,-0.086,-0.641
2021,3,15,0.296,0.439,0.353,0.525,0.214,0.426,0.133
2021,3,16,2.919,2.189,1.572,1.077,0.744,0.866,1.138
2021,3,17,0.503,0.828,0.271,0.079,0.363,0.25,0.011
2021,3,18,-1.172,-0.444,-0.982,-0.662,-0.22,-0.352,-0.317
2021,3,19,-2.426,-2.2,-2.731,-1.747,-2.2,-2.347,-1.444
2021,3,20,-0.062,-0.325,-0.811,-0.729,-1.137,-0.616,-0.494
2021,3,21,0.568,0.696,0.387,-0.027,-0.245,0.13,-0.372
2021,3,22,0.677,0.895,0.579,0.576,-0.159,0.443,0.056
2021,3,23,1.307,1.185,0.239,0.229,0.381,0.492,0.753
2021,3,24,2.194,2.478,1.177,0.393,0.263,0.32,0.383
2021,3,25,1.563,1.917,1.094,0.289,0.536,0.624,0.9
2021,3,26,1.735,1.529,1.156,0.559,0.799,0.575,1.227
2021,3,27,1.747,1.675,1.242,-0.011,0.27,-0.004,0.028
2021,3,28,0.874,0.545,0.764,-0.392,-0.151,-0.358,-0.426
2021,3,29,1.145,0.557,0.642,0.373,0.129,-0.179,0.059
2021,3,30,4.273,2.643,1.405,0.973,0.674,0.936,1.126
2021,3,31,2.233,2.213,1.592,0.888,0.708,0.518,0.306
2021,4,1,0.464,0.348,0.651,0.691,0.49,0.268,0.234
2021,4,2,0.12,0.524,0.538,0.687,0.329,0.161,0.067
2021,4,3,0.669,0.57,0.609,0.57,0.261,0.496,-0.067
2021,4,4,0.297,0.532,0.845,0.817,0.506,0.23,0.089
2021,4,5,1.067,1.387,1.338,0.979,0.868,0.833,0.707
2021,4,6,2.435,2.705,1.57,0.765,0.604,0.411,0.541
2021,4,7,1.197,1.163,0.821,0.757,0.152,0.175,-0.035
2021,4,8,0.657,0.592,0.504,0.476,0.051,0.119,0.024
2021,4,9,1.239,1.257,0.369,0.488,0.223,0.194,0.006
2021,4,10,1.285,1.834,0.904,0.53,0.251,0.15,0.061
2021,4,11,2.426,3.002,1.393,0.468,0.607,0.496,0.708
2021,4,12,4.318,5.102,3.378,1.826,1.688,0.937,0.661
2021,4,13,2.994,3.739,3.073,1.899,1.556,0.848,0.557
2021,4,14,1.401,2.141,1.956,1.064,0.905,0.486,0.467
2021,4,15,0.35,0.016,0.431,0.288,0.343,0.242,0.276
2021,4,16,0.363,-0.523,-0.129,0.159,0.18,-0.006,0.011
2021,4,17,1.043,-0.493,0.519,0.185,-0.01,-0.033,-0.103
2021,4,18,0.731,-0.126,0.617,0.25,-0.021,0.106,-0.076
2021,4,19,0.426,0.502,0.549,0.006,0.184,0.133,-0.06
2021,4,20,0.666,1.167,0.482,0.602,0.547,0.424,0.134
2021,4,21,2.042,2.517,1.238,1.074,1.01,0.596,0.753
2021,4,22,2.466,3.157,1.321,1.109,0.723,0.603,0.721
2021,4,23,0.995,1.092,0.527,0.503,0.17,0.244,0.191
2021,4,24,-0.124,-0.423,-0.169,-0.013,-0.099,0.122,-0.036
2021,4,25,-0.328,-0.264,-0.561,-0.4,-0.165,0.014,-0.041
